PhysicalEntity1	BAP31 oligomer	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983323	NA	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein170	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein171	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein172	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein173	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein174	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein175	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein176	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein177	
Protein180	Sec24	cytosol	Reactome DB_ID: 203991	Protein181	
Protein180	Sec24	cytosol	Reactome DB_ID: 203991	Protein182	
Protein180	Sec24	cytosol	Reactome DB_ID: 203991	Protein183	
Protein180	Sec24	cytosol	Reactome DB_ID: 203991	Protein184	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein189	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein190	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein191	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein192	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein193	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein194	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein195	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein196	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein197	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein198	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein199	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein200	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein201	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein202	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein203	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein204	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein205	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein206	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein207	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein208	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein209	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein210	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein211	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein212	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein213	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein214	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein215	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein216	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein217	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein218	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein219	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein220	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein221	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein222	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein223	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein224	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein225	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein226	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein227	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein228	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein229	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein230	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein231	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein232	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein233	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein234	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein235	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein236	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein237	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein238	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein239	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein240	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein241	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein242	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein243	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein244	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein245	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein246	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein247	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein248	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein249	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein250	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein251	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein252	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein253	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein254	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein255	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein256	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein257	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein258	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein259	
Protein188	Class I MHC heavy chain (MHC HC)	Golgi membrane	Reactome DB_ID: 983410	Protein260	
Protein261	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein262	
Protein261	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein263	
Protein261	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein264	
Protein261	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein265	
Protein261	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein266	
Protein261	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein267	
Protein261	MHC Class I	plasma membrane	Reactome DB_ID: 198889	Protein268	
