BiochemicalReaction49	MMAA:MUT binds AdoCbl	Complex41	Complex44	
BiochemicalReaction49	MMAA:MUT binds AdoCbl	SmallMolecule79	Complex44	
BiochemicalReaction5	2xGSTOs reduce DHvitC to VitC	SmallMolecule14	SmallMolecule5	
BiochemicalReaction5	2xGSTOs reduce DHvitC to VitC	SmallMolecule2	SmallMolecule5	
BiochemicalReaction5	2xGSTOs reduce DHvitC to VitC	SmallMolecule2	SmallMolecule15	
BiochemicalReaction5	2xGSTOs reduce DHvitC to VitC	SmallMolecule14	SmallMolecule15	
BiochemicalReaction50	MUT isomerises L-MM-CoA to SUCC-CoA	SmallMolecule80	Complex41	
BiochemicalReaction50	MUT isomerises L-MM-CoA to SUCC-CoA	Complex44	Complex41	
BiochemicalReaction50	MUT isomerises L-MM-CoA to SUCC-CoA	Complex44	SmallMolecule81	
BiochemicalReaction50	MUT isomerises L-MM-CoA to SUCC-CoA	SmallMolecule80	SmallMolecule81	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule18	SmallMolecule25	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule58	SmallMolecule25	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule24	SmallMolecule25	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule24	SmallMolecule23	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule58	SmallMolecule23	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule18	SmallMolecule23	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule24	SmallMolecule55	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule58	SmallMolecule55	
BiochemicalReaction51	ABCC1 transports cytosolic Cbl to extracellular region	SmallMolecule18	SmallMolecule55	
BiochemicalReaction52	TCII binds Cbl in the circulation	SmallMolecule55	Complex46	
BiochemicalReaction52	TCII binds Cbl in the circulation	Protein62	Complex46	
BiochemicalReaction53	TCN1 binds Cbl in the circulation	SmallMolecule55	Complex19	
BiochemicalReaction53	TCN1 binds Cbl in the circulation	Protein37	Complex19	
